date,powerusage,weekday,day_name,weekday_status,hour,month,season,날짜,MEF,min_cutoff,max_cutoff,변화율_100이상_주중,변화율_100미만_주중,변화율_100이상_주말,변화율_100미만_주말,최대제한,최소제한,optimized_powerusage,MEF_CO2
2021-01-01 00:00:00,65.96056722767783,4,Friday,O,0,1,겨울,2021-01-01,0.6267347222793909,44.627261084774624,90.51775181791999,114.97115571274934,90.43008403577207,137.47436920240474,74.42677279441497,75.83562645634618,59.648196374460994,69.69205153760704,2.338650782673391
2021-01-01 01:00:00,64.85971597573746,4,Friday,O,1,1,겨울,2021-01-01,0.6891627860241827,44.66345040766877,89.54192260400522,114.3538575532552,90.71405824418466,139.5347112644068,73.39657226908338,74.16958721634072,58.83688052724322,61.559718392516906,-2.2742355283253453
2021-01-01 02:00:00,63.15394133762249,4,Friday,O,2,1,겨울,2021-01-01,0.6814204191574972,44.0993887442762,87.88672986092512,113.79583701942057,90.98737951149185,142.01943668963125,72.21576692739015,71.86655615590138,57.46211628132751,61.081314395777206,-1.4123303194693362
2021-01-01 03:00:00,61.32863214260416,4,Friday,O,3,1,겨울,2021-01-01,0.7217562860937817,43.41351824653344,86.04219864410852,113.1774502275603,91.3115547998894,144.58382751814915,71.05621026484334,69.41018211843937,56.00012754691657,61.08131439577723,-0.17850313843488708
2021-01-01 04:00:00,61.08131439577723,4,Friday,O,4,1,겨울,2021-01-01,0.6983930224063919,44.296812952941984,85.71131076039043,112.13515331716246,91.88905262697898,145.39231408943888,70.69886604944124,68.49362554584282,56.127041130386225,61.08131439577723,0.0
2021-01-01 05:00:00,64.05202465283467,4,Friday,O,5,1,겨울,2021-01-01,0.7025295719724087,48.38322243582722,88.54031417049111,110.49370500596683,92.84123661098967,142.67206333046497,71.89866440550684,70.77345517025229,59.466691762067676,61.08131439577718,-2.087011805344648
2021-01-01 06:00:00,70.5552921986172,4,Friday,O,6,1,겨울,2021-01-01,0.6659026534594816,55.981717005834525,94.85063213681343,108.55917688499247,94.02383324831574,137.24517937440098,74.4578213638608,76.59424445962013,66.33879028468976,61.174831250016744,-6.2464738363460866
2021-01-01 07:00:00,79.26131932367697,4,Friday,O,7,1,겨울,2021-01-01,0.6549693724404029,65.75752300823508,103.31996226130772,106.55661093661237,95.02172359992812,131.53943608302407,77.40664910904023,84.45817565495643,75.31547176940074,74.84085855989527,-2.895266412351527
2021-01-01 08:00:00,87.94685070465164,4,Friday,O,8,1,겨울,2021-01-01,0.6673495769585976,75.48303857481864,111.73305736200327,105.04562247727192,95.86269950699707,127.01544026959057,79.9584364371157,92.38431677185832,84.30822521686754,79.54203302796134,-5.608951520953415
2021-01-01 09:00:00,94.63668421465806,4,Friday,O,9,1,겨울,2021-01-01,0.6289176738485138,83.1793816234313,118.12314155366336,103.85224748010438,96.38950142545819,123.88520189377424,81.85439244201781,98.28232349757155,91.21982808009419,93.54674244599667,-0.6854836417768565
2021-01-01 10:00:00,98.3387784360085,4,Friday,O,10,1,겨울,2021-01-01,0.7201470656914111,87.851524970296,121.72278510607018,103.21129107626308,96.98882354226753,121.850765418841,83.16148070794287,101.49672285243015,95.3776242909217,87.85152497029584,-7.55236481049505
2021-01-01 11:00:00,99.10031752521202,4,Friday,O,11,1,겨울,2021-01-01,0.6852361871129085,89.54437891903191,122.59183714284092,102.79657383614041,97.5536835322901,120.53590387102349,84.05714028615733,101.87173107665417,96.67601013803994,89.54437891903171,-6.548074934784033
2021-01-01 12:00:00,97.677360570287,4,Friday,O,12,1,겨울,2021-01-01,0.6909163290365836,89.01244831745026,121.2734353283723,102.22362975329794,97.81998437085403,119.59638711182936,84.7396942215304,99.849343422164,95.54797884371746,89.01244831745011,-5.986729365154174
